NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Ciência Da Computação (Bacharelado) (5079),NA,NA,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.638297872340425,94,5
Ciência Da Computação (Bacharelado) (19641),FMU,SP,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.636363636363636,55,2
Ciência Da Computação (Bacharelado) (19641),FMU,SP,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,5.633333333333334,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,47,Curso em geral,O curso favoreceu a articulação do conhecimento teórico com atividades práticas.,5.633333333333334,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,5.633333333333333,60,1
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.629629629629629,54,6
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.6226415094339615,53,3
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.62121212121212,66,4
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.620689655172414,58,2
Ciência Da Computação (Bacharelado) (19799),FEI,SP,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.62,50,13
Ciência Da Computação (Bacharelado) (19799),FEI,SP,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.619999999999999,50,5
Ciência Da Computação (Bacharelado) (19641),FMU,SP,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.616666666666667,60,3
Ciência Da Computação (Bacharelado) (19641),FMU,SP,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.616666666666666,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.616666666666666,60,2
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.611940298507462,67,3
Ciência Da Computação (Bacharelado) (3676),FURB,SC,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.610169491525424,59,6
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,5.6078431372549025,51,1
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.607142857142858,56,2
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.607142857142858,56,2
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.605504587155964,109,7
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.60377358490566,53,4
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,5.603773584905659,53,2
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.6000000000000005,60,3
Ciência Da Computação (Bacharelado) (19641),FMU,SP,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.6,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.6,60,3
Ciência Da Computação (Bacharelado) (19641),FMU,SP,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.6,60,2
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.596153846153846,52,4
Ciência Da Computação (Bacharelado) (15002),UFPEL,RS,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.591549295774648,71,14
Ciência Da Computação (Bacharelado) (5079),NA,NA,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.5894736842105255,95,7
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.589285714285714,56,3
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.584905660377358,53,2
Ciência Da Computação (Bacharelado) (14098),UFG,GO,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.584615384615384,65,4
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.5840707964601775,113,3
Ciência Da Computação (Bacharelado) (19641),FMU,SP,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,5.583333333333333,60,3
Ciência Da Computação (Bacharelado) (19641),FMU,SP,67,Infraestrutura,"A instituição promoveu atividades de cultura, de lazer e de interação social.",5.583333333333333,60,2
Ciência Da Computação (Bacharelado) (19799),FEI,SP,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",5.579999999999999,50,5
Ciência Da Computação (Bacharelado) (5079),NA,NA,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.578947368421053,95,15
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.575757575757576,66,3
Ciência Da Computação (Bacharelado) (1102342),UFABC,SP,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.5740740740740735,54,3
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.568965517241379,58,2
Ciência Da Computação (Bacharelado) (19641),FMU,SP,40,"Ensino, apoio e avaliacão",Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.,5.566666666666667,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.566666666666666,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,48,Curso em geral,"As atividades práticas foram suficientes para relacionar os conteúdos do curso com a prática, contribuindo para sua formação profissional.",5.566666666666666,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.566666666666666,60,8
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.566037735849057,53,2
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.566037735849056,53,3
Ciência Da Computação (Bacharelado) (3676),FURB,SC,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.564516129032259,62,5
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,5.5636363636363635,55,2
Ciência Da Computação (Bacharelado) (13717),UFRGS,RS,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.560975609756097,82,6
Ciência Da Computação (Bacharelado) (19799),FEI,SP,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.56,50,4
Ciência Da Computação (Bacharelado) (43257),FUMEC,MG,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.56,75,5
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.557377049180327,61,5
Ciência Da Computação (Bacharelado) (13717),UFRGS,RS,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.556818181818182,88,4
Ciência Da Computação (Bacharelado) (13717),UFRGS,RS,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.556818181818182,88,5
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.553571428571428,56,3
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.550000000000001,60,2
Ciência Da Computação (Bacharelado) (19641),FMU,SP,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.55,60,1
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,5.548672566371681,113,6
Ciência Da Computação (Bacharelado) (43257),FUMEC,MG,62,Infraestrutura,Os equipamentos e materiais disponíveis para as aulas práticas foram adequados para a quantidade de estudantes.,5.546666666666667,75,6
Ciência Da Computação (Bacharelado) (19641),FMU,SP,44,Curso em geral,Foram oferecidas oportunidades para os estudantes participarem de projetos de iniciação científica e de atividades que estimularam a investigação acadêmica.,5.542372881355932,59,4
Ciência Da Computação (Bacharelado) (7511),PUC MINAS,MG,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.5357142857142865,56,3
