IesCd;IesNome;IesSigla;IesSiglaAgrupada;NaturezaJuridica;NaturezaJuridicaMEC;Comunitária;Filantrópica;Confessional;MunicipioCdCompleto
52004015;UNIVERSIDADE DE RIO VERDE;FESURV;FESURV;Pública Municipal;Pública Municipal;;;;5218805
52001016;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;UFG;Pública Federal;Pública Federal;;;;5205109
52005011;INSTIT. FEDERAL DE EDUCACÃO, CIÊNCIA  E TECNOLOGIA DE GOIÁS;IFG;IFG;Pública Federal;Pública Federal;;;;5208707
52016013;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;UNIALFA;Particular;Privada com fins lucrativos;;;;5208707
33300003;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO;ESPM;ESPM;Particular;Privada sem fins lucrativos;;;;3304557
33139016;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;ESPM;ESPM;Particular;Privada sem fins lucrativos;;;;3550308
20001010;UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;UFMA;Pública Federal;Pública Federal;;;;2103208
20002017;UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA;UEMA;Pública Estadual;Pública Estadual;;;;2103000
42016010;ESCOLA SUPERIOR DE TEOLOGIA;EST;EST;Particular;Privada sem fins lucrativos;SIM;;;4318705
20003013;INSTIT.FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN.DO MARANHÃO/MC;IFMA/MC;IFMA/MC;Pública Federal;Pública Federal;;;;2111300
32002017;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;UFV;Pública Federal;Pública Federal;;;;3126000
32011016;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL;UNIFAL;Pública Federal;Pública Federal;;;;3101607
32006012;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;UFU;Pública Federal;Pública Federal;;;;3134202
42057019;FACULDADES INTEGRADAS DE TAQUARA;FACCAT;FACCAT;Particular;Privada sem fins lucrativos;SIM;;;4321204
32048017;INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO;IFTM;IFTM;Pública Federal;Pública Federal;;;;3170107
32012012;Universidade Federal do Triângulo Mineiro;UFTM;UFTM;Pública Federal;Pública Federal;;;;3170107
33254010;FACULDADE ESCOLA PAULISTA DE DIREITO;FACEPD;FACEPD;Particular;Privada sem fins lucrativos;;;;3550308
32010010;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;UFVJM;UFVJM;Pública Federal;Pública Federal;;;;3121605
32018010;Universidade Federal de São João del-Rei;UFSJ;UFSJ;Pública Federal;Pública Federal;;;;3122306
26017008;FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ;FADIC;FADIC;Particular;Privada sem fins lucrativos;;;;2611606
32029012;FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA;FAJE;FAJE;Particular;Privada sem fins lucrativos;;;;3106200
32044011;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS;IFSUDESTEMG;IFSUDESTEMG;Pública Federal;Pública Federal;;;;3155801
32082010;INSTITUTO FED. DE EDUC. CIÊNC. E TEC. DO SUL DE MINAS GERAIS;IFSULDEMINAS;IFSULDEMINAS;Pública Federal;Pública Federal;;;;3152501
41024010;FACULDADE SATC;FASATC;FASATC;Particular;Privada sem fins lucrativos;;;;4204608
33018014;FACULDADE CÁSPER LÍBERO;FCL;FCL;Particular;Privada sem fins lucrativos;;;;3550308
32034016;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;FCMMG;FCMMG;Particular;Privada sem fins lucrativos;;;;3106200
33019010;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO;FCMSCSP-TI;FCMSCSP-TI;Particular;Privada sem fins lucrativos;;;;3550308
32007019;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;UFOP;Pública Federal;Pública Federal;;;;3140001
31105009;FUNDAÇÃO DOM CABRAL;FDC;FDC;Particular;Privada sem fins lucrativos;;;;3144805
32040016;FACULDADE DE DIREITO MILTON CAMPOS;FDMC;FDMC;Particular;Privada sem fins lucrativos;;;;3144805
32014015;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES;UNIMONTES;Pública Estadual;Pública Estadual;;;;3135100
32001010;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;UFMG;Pública Federal;Pública Federal;;;;3106200
32004010;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;UFLA;Pública Federal;Pública Federal;;;;3138203
32005016;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;UFJF;Pública Federal;Pública Federal;;;;3136702
32079010;FACULDADE DE DIREITO DO SUL DE MINAS;FDSM;FDSM;Particular;Privada sem fins lucrativos;;;;3152501
33111014;"FUNDAÇÃO DE ENSINO ""EURÍPIDES SOARES DA ROCHA""";FEESR;FEESR;Particular;Privada sem fins lucrativos;;SIM;SIM;3529005
32003013;UNIVERSIDADE FEDERAL DE ITAJUBÁ;UNIFEI;UNIFEI;Pública Federal;Pública Federal;;;;3132404
42041015;UNIVERSIDADE FEEVALE;FEEVALE;FEEVALE;Particular;Privada sem fins lucrativos;SIM;SIM;;4313409
32081014;INSTITUTO DE ENSINO SUPERIOR E PESQUISA;INESP;INESP;Particular;Privada com fins lucrativos;;;;3122306
33027013;CENTRO UNIVERSITARIO DA FEI;FEI;FEI;Particular;Privada sem fins lucrativos;SIM;SIM;;3548708
32020015;CENTRO FEDERAL DE EDUCAÇÃO TECN. DE MINAS GERAIS;CEFET/MG;CEFET/MG;Pública Federal;Pública Federal;;;;3106200
32037015;CENTRO UNIVERSITARIO UNA;UNA;UNA;Particular;Privada com fins lucrativos;;;;3106200
32049013;FUNDAÇÃO JOÃO PINHEIRO (ESCOLA DE GOVERNO);FJP;FJP;Pública Estadual;Pública Estadual;;;;3106200
40009017;FACULDADE EVANGELICA DO PARANA;FEPAR;FEPAR;Particular;Privada sem fins lucrativos;;;;4106902
32076010;CENTRO UNIVERSITÁRIO UNIHORIZONTES;UNIHORIZONTES;UNIHORIZONTES;Particular;Privada com fins lucrativos;;;;3106200
32025017;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG;UEMG;Pública Estadual;Pública Estadual;;;;3106200
32045018;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS;IFMG;IFMG;Pública Federal;Pública Federal;;;;3106200
31106005;Faculdades Integradas do Sudoeste Mineiro;FESP;FESP;Particular;Privada sem fins lucrativos;;;;3147907
33146012;FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS;FFIA;FFIA;Particular;Privada sem fins lucrativos;;;;3550308
32069014;CENTRO DE DESENVOLVIMENTO DA TECNOLOGIA NUCLEAR;CDTN;CDTN;Pública Federal;Pública Federal;;;;3106200
31115004;Instituto de Educação Tecnológica;IETEC;IETEC;Particular;Privada com fins lucrativos;;;;3106200
32146019;FACULDADE PROMOVE DE TECNOLOGIA;FPT;FPT;Particular;Privada com fins lucrativos;;;;3106200
33145016;Escola de Direito de São Paulo;FGV Direito SP;FGV/SP;Particular;Privada sem fins lucrativos;;;;3550308
31011012;FUNDAÇÃO GETÚLIO VARGAS/RJ;FGV/RJ;FGV/RJ;Particular;Privada sem fins lucrativos;;;;3304557
32067011;CENTRO DE PESQUISAS RENÉ RACHOU/FIOCRUZ;CPqRR;FIOCRUZ;Pública Federal;Pública Federal;;;;3106200
31010016;FUNDACAO OSWALDO CRUZ;FIOCRUZ;FIOCRUZ;Pública Federal;Pública Federal;;;;3106200
33014019;FUNDAÇÃO GETÚLIO VARGAS/SP;FGV/SP;FGV/SP;Particular;Privada sem fins lucrativos;;;;3550308
51001012;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;UFMS;Pública Federal;Pública Federal;;;;5001102
51004011;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;UEMS;Pública Estadual;Pública Estadual;;;;5002704
51005018;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;UFGD;Pública Federal;Pública Federal;;;;5003702
33113017;Faculdade FIPECAFI;FIPECAFI;FIPECAFI;Particular;Privada sem fins lucrativos;;;;3550308
51003015;UNIVERSIDADE ANHANGUERA;UNIDERP;UNIDERP;Particular;Privada com fins lucrativos;;;;5002704
50002015;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;UNEMAT;Pública Estadual;Pública Estadual;;;;5100250
50001019;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;UFMT;Pública Federal;Pública Federal;;;;5101803
50005014;INSTITUTO FED. DE EDUC., CIÊNC. E TECNOLOGIA DE MATO GROSSO;IFMT;IFMT;Pública Federal;Pública Federal;;;;5103403
50008013;UNIVERSIDADE DE CUIABÁ;UNIC;UNIC;Particular;Privada com fins lucrativos;;;;5103403
51020009;HOSPITAL UNIVERSITÁRIO JÚLIO MÜLLER/EBSERH;HUJM;HUJM;Particular;Pública Federal;;;;5103403
15001016;UNIVERSIDADE FEDERAL DO PARÁ;UFPA;UFPA;Pública Federal;Pública Federal;;;;1500602
15010015;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;UFOPA;UFOPA;Pública Federal;Pública Federal;;;;1506807
15025012;UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ;UNIFESSPA;UNIFESSPA;Pública Federal;Pública Federal;;;;1504208
15008010;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ;IFPA;IFPA;Pública Federal;Pública Federal;;;;1501402
15004015;UNIVERSIDADE DA AMAZÔNIA;UNAMA;UNAMA;Particular;Privada com fins lucrativos;;;;1501402
15002012;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;UFRA;UFRA;Pública Federal;Pública Federal;;;;1501402
15027007;MUSEU PARAENSE EMÍLIO GOELDI;MPEG;MPEG;Pública Federal;Pública Federal;;;;1501402
33112010;FACULDADE DE MEDICINA DO ABC;FMABC;FMABC;Particular;Privada sem fins lucrativos;;;;3547809
15006018;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;UEPA;Pública Estadual;Pública Estadual;;;;1501402
43002005;Faculdade de Direito da Fundação Escola Superior do Ministério Público;FMP;FMP;Particular;Privada sem fins lucrativos;;SIM;;4314902
15021017;FUNDAÇAO SANTA CASA DE MISERICÓRDIA DO PARÁ;FSCMPA;FSCMPA;Pública Estadual;Pública Estadual;;;;1501402
15012018;INSTITUTO EVANDRO CHAGAS;IEC;IEC;Pública Federal;Pública Federal;;;;1500800
24001040;UNIVERSIDADE FEDERAL DA PARAÍBA/RIO TINTO;UFPB/RT;UFPB;Pública Federal;Pública Federal;;;;2512903
24009016;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;UFCG;Pública Federal;Pública Federal;;;;2504009
24001015;UNIVERSIDADE FEDERAL DA PARAÍBA/JOÃO PESSOA;UFPB/J.P.;UFPB;Pública Federal;Pública Federal;;;;2501500
24004014;UNIVERSIDADE ESTADUAL DA PARAIBA;UEPB;UEPB;Pública Estadual;Pública Estadual;;;;2504009
33142017;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;FMU;Particular;Privada sem fins lucrativos;;;;3550308
25046004;Faculdade de Enfermagem Nova Esperança;FACENE;FACENE;Particular;Privada com fins lucrativos;;;;2507507
24007013;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN. DA PARAÍBA;IFPB;IFPB;Pública Federal;Pública Federal;;;;2507507
24001031;UNIVERSIDADE FEDERAL DA PARAÍBA/AREIA;UFPB/AREIA;UFPB;Pública Federal;Pública Federal;;;;2501104
25001019;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;UFPE;Pública Federal;Pública Federal;;;;2604106
25003011;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;UFRPE;Pública Federal;Pública Federal;;;;2606002
25004018;UNIVERSIDADE DE PERNAMBUCO;UPE;UPE;Pública Estadual;Pública Estadual;;;;2603454
25018019;FACULDADE BOA VIAGEM;FBV;FBV;Particular;Privada com fins lucrativos;;;;2611606
32065019;FACULDADE PEDRO LEOPOLDO;FPL;FPL;Particular;Privada sem fins lucrativos;;;;3149309
25009010;INSTITUTO FED. DE EDUC., CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE;IFPE;Pública Federal;Pública Federal;;;;2611606
40037010;FACULDADES PEQUENO PRÍNCIPE;FPP;FPP;Particular;Privada sem fins lucrativos;;;;4106902
25025015;FACULDADE PERNAMBUCANA DE SAÚDE;FPS;FPS;Particular;Privada sem fins lucrativos;;;;2611606
40070018;FACULDADE TEOLÓGICA BATISTA DO PARANÁ;FTBP;FTBP;Particular;Privada sem fins lucrativos;;;;4106902
42018013;FUNDAÇÃO UNIVERSITÁRIA DE CARDIOLOGIA;FUC;FUC;Particular;Privada sem fins lucrativos;;SIM;;4314902
30007011;FUNDAÇÃO INSTITUTO CAPIXABA DE PESQ.EM CONT.ECON.E FINANÇAS;FUCAPE;FUCAPE;Particular;Privada sem fins lucrativos;;;;3205309
25007017;CENTRO DE PESQUISA AGGEU MAGALHÃES / FIOCRUZ;NESC/CPqAM;FIOCRUZ;Pública Federal;Pública Federal;;;;2611606
25016016;FUNDACAO JOAQUIM NABUCO;FJN;FJN;Pública Federal;Pública Federal;;;;2611606
26013002;FACULDADE DOS GUARARAPES;FG;FG;Particular;Privada com fins lucrativos;;;;2607901
21001014;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;FUFPI;FUFPI;Pública Federal;Pública Federal;;;;2201903
21005010;SOCIEDADE DE ENSINO SUPERIOR E TECNOLÓGICO DO PIAUI LTDA;UNINOVAFAPI;UNINOVAFAPI;Particular;Privada com fins lucrativos;;;;2211001
21003017;INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ;IFPI;IFPI;Pública Federal;Pública Federal;;;;2211001
21002010;FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI;UESPI;UESPI;Pública Estadual;Pública Estadual;;;;2211001
33302006;Fucape Pesquisa Ensino e Participações Limitada;Fucape-RJ;Fucape-RJ;Particular;Privada sem fins lucrativos;;;;3304557
40015017;UNIVERSIDADE ESTADUAL DO OESTE DO PARANA;UNIOESTE;UNIOESTE;Pública Estadual;Pública Estadual;;;;4104808
40006018;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;UTFPR;Pública Federal;Pública Federal;;;;4104303
40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;UFPR;Pública Federal;Pública Federal;;;;4106902
40005011;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;UEPG;UEPG;Pública Estadual;Pública Estadual;;;;4119905
40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;UEL;Pública Estadual;Pública Estadual;;;;4113700
40076016;UNIVERSIDADE ESTADUAL DO PARANA - Reitoria;UNESPAR;UNESPAR;Pública Estadual;Pública Estadual;;;;4104303
40004015;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;UEM;Pública Estadual;Pública Estadual;;;;4115200
